NACT01;CLUSTER NACIONAL POR LUGAR DE TRABAJO
NACS01;CLUSTER NACIONAL POR ACTIVIDADES SOCIALES
NACASG01;CLUSTER DE AREAS DE SALUD, CLINICAS U SERVICIOS DE SALUD EXCEPTUA HOSPITALES
NACBNS10;CLUSTER DE AREAS DE SALUD, CLINICAS U SERVICIOS DE SALUD EXCEPTUA HOSPITALES
NACSS19;CLUSTER DE AREAS DE SALUD, CLINICAS U SERVICIOS DE SALUD EXCEPTUA HOSPITALES
NACH01;CLUSTER HOSPITALES
IPAR01;CLUSTER  CASOS IMPORTADOS DE DISTINTOS PAISES
NACUI01;CASOS UNICOS IMPORTADOS QUE SE DESCONOCE EL LUGAR DE RESIDENCIA
RCST01;REGION CENTRAL SUR TRABAJO
RCSC01;REGION CENTRAL SUR CUARTERIAS
RCSP01;REGION CENTRAL SUR POBLADOS
RCSHA01;REGION CENTRAL SUR HOGAR DE ANCIANOS
RCSF01;REGION CENTRAL SUR BROTES FAMILIARES
RCSCA01;REGION CENTRAL SUR CASOS UNICOS IMPORTADOS
RCSUI01;REGION CENTRAL SUR CLUSTERS DE CANTONES
RCSPI01;REGION CENTRAL SUR PAREJAS IMPORTADAS
RCSSN01;REGION CENTRAL SUR CASOS UNICOS SIN NEXO
RCSPSN01;REGION CENTRAL SUR PAREJAS SIN NEXO
RCNT01;REGION CENTRAL NORTE TRABAJO
RCNC01;REGION CENTRAL NORTE CUARTERIAS
RCNP01;REGION CENTRAL NORTE POBLADOS
RCNHA01;REGION CENTRAL NORTE HOGAR DE ANCIANOS
RCNF01;REGION CENTRAL NORTE BROTES FAMILIARES
RCNCA01;REGION CENTRAL NORTE CASOS UNICOS IMPORTADOS
RCNUI01;REGION CENTRAL NORTE CLUSTERS DE CANTONES
RCNPI01;REGION CENTRAL NORTE PAREJAS IMPORTADAS
RCNSN01;REGION CENTRAL NORTE CASOS UNICOS SIN NEXO
RCNPSN01;REGION CENTRAL NORTE PAREJAS SIN NEXO
RCET01;REGION CENTRAL ESTE TRABAJO
RCEC01;REGION CENTRAL ESTE CUARTERIAS
RCEP01;REGION CENTRAL ESTE POBLADOS
RCEHA01;REGION CENTRAL ESTE HOGAR DE ANCIANOS
RCEF01;REGION CENTRAL ESTE BROTES FAMILIARES
RCECA01;REGION CENTRAL ESTE CASOS UNICOS IMPORTADOS
RCEUI01;REGION CENTRAL ESTE CLUSTERS DE CANTONES
RCEPI01;REGION CENTRAL ESTE PAREJAS IMPORTADAS
RCESN01;REGION CENTRAL ESTE CASOS UNICOS SIN NEXO
RCEPSN01;REGION CENTRAL ESTE PAREJAS SIN NEXO
RCHT01;REGION CHOROTEGA TRABAJO
RCHC01;REGION CHOROTEGA CUARTERIAS
RCHP01;REGION CHOROTEGA POBLADOS
RCHHA01;REGION CHOROTEGA HOGAR DE ANCIANOS
RCHF01;REGION CHOROTEGA BROTES FAMILIARES
RCHCA01;REGION CHOROTEGA CASOS UNICOS IMPORTADOS
RCHUI01;REGION CHOROTEGA CLUSTERS DE CANTONES
RCHPI01;REGION CHOROTEGA PAREJAS IMPORTADAS
RCHSN01;REGION CHOROTEGA CASOS UNICOS SIN NEXO
RCHPSN01;REGION CHOROTEGA PAREJAS SIN NEXO
RCOT01;REGION OCCIDENTE  TRABAJO
RCOC01;REGION OCCIDENTE  CUARTERIAS
RCOP01;REGION OCCIDENTE  POBLADOS
RCOHA01;REGION OCCIDENTE  HOGAR DE ANCIANOS
RCOF01;REGION OCCIDENTE  BROTES FAMILIARES
RCOCA01;REGION OCCIDENTE  CASOS UNICOS IMPORTADOS
RCOUI01;REGION OCCIDENTE  CLUSTERS DE CANTONES
RCOPI01;REGION OCCIDENTE  PAREJAS IMPORTADAS
RCOSN01;REGION OCCIDENTE  CASOS UNICOS SIN NEXO
RCOPSN01;REGION OCCIDENTE  PAREJAS SIN NEXO
RBRT01;REGION BRUNCA TRABAJO
RBRC01;REGION BRUNCA CUARTERIAS
RBRP01;REGION BRUNCA POBLADOS
RBRHA01;REGION BRUNCA HOGAR DE ANCIANOS
RBRF01;REGION BRUNCA BROTES FAMILIARES
RBRCA01;REGION BRUNCA CASOS UNICOS IMPORTADOS
RBRUI01;REGION BRUNCA CLUSTERS DE CANTONES
RBRPI01;REGION BRUNCA PAREJAS IMPORTADAS
RBRSN01;REGION BRUNCA CASOS UNICOS SIN NEXO
RBRPSN01;REGION BRUNCA PAREJAS SIN NEXO
RPCT01;REGION PACIFICO CENTRAL TRABAJO
RPCC01;REGION PACIFICO CENTRAL CUARTERIAS
RPCP01;REGION PACIFICO CENTRAL POBLADOS
RPCHA01;REGION PACIFICO CENTRAL HOGAR DE ANCIANOS
RPCF01;REGION PACIFICO CENTRAL BROTES FAMILIARES
RPCCA01;REGION PACIFICO CENTRAL CASOS UNICOS IMPORTADOS
RPCUI01;REGION PACIFICO CENTRAL CLUSTERS DE CANTONES
RPCPI01;REGION PACIFICO CENTRAL PAREJAS IMPORTADAS
RPCSN01;REGION PACIFICO CENTRAL CASOS UNICOS SIN NEXO
RPCPSN01;REGION PACIFICO CENTRAL PAREJAS SIN NEXO
RHCT01;REGION HUETAR CARIBE TRABAJO
RHCC01;REGION HUETAR CARIBE CUARTERIAS
RHCP01;REGION HUETAR CARIBE POBLADOS
RHCHA01;REGION HUETAR CARIBE HOGAR DE ANCIANOS
RHCF01;REGION HUETAR CARIBE BROTES FAMILIARES
RHCCA01;REGION HUETAR CARIBE CASOS UNICOS IMPORTADOS
RHCUI01;REGION HUETAR CARIBE CLUSTERS DE CANTONES
RHCPI01;REGION HUETAR CARIBE PAREJAS IMPORTADAS
RHCSN01;REGION HUETAR CARIBE CASOS UNICOS SIN NEXO
RHCPSN01;REGION HUETAR CARIBE PAREJAS SIN NEXO
RHNT01;REGION HUETAR NORTE TRABAJO
RHNC01;REGION HUETAR NORTE CUARTERIAS
RHNP01;REGION HUETAR NORTE POBLADOS
RHNHA01;REGION HUETAR NORTE HOGAR DE ANCIANOS
RHNF01;REGION HUETAR NORTE BROTES FAMILIARES
RHNCA01;REGION HUETAR NORTE CASOS UNICOS IMPORTADOS
RHNUI01;REGION HUETAR NORTE CLUSTERS DE CANTONES
RHNPI01;REGION HUETAR NORTE PAREJAS IMPORTADAS
RHNSN01;REGION HUETAR NORTE CASOS UNICOS SIN NEXO
RHNPSN01;REGION HUETAR NORTE PAREJAS SIN NEXO
